period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,9,8,1,1,0,0,8,7,0,7,1,8,2535.0,104122.7500000001,101587.7500000001,4007.4063116370844
6.0,Trader_2,2020-01-03,8,6,2,1,0,1,6,6,1,5,0,6,2386.0,100435.50000000013,98049.50000000013,4109.367141659687
6.0,Trader_3,2020-01-04,8,7,1,1,0,0,7,6,1,5,1,7,2386.0,139632.24999999994,137246.24999999994,5752.147946353728
6.0,Trader_4,2020-01-05,10,9,1,1,0,0,9,8,1,7,1,9,2684.0,107964.49999999997,105280.49999999997,3922.5223546944844
6.0,Trader_5,2020-01-06,8,7,1,1,0,0,7,6,1,5,0,7,2386.0,146083.24999999994,143697.24999999994,6022.516764459344
6.0,Trader_6,2020-01-07,7,6,1,1,0,0,6,5,1,4,1,7,2237.0,150955.74999999997,148718.74999999997,6648.133661153329
6.0,Trader_7,2020-01-08,8,7,1,1,0,0,7,6,1,5,1,7,2386.0,139632.24999999994,137246.24999999994,5752.147946353728
6.0,Trader_8,2020-01-09,9,7,2,1,0,1,7,7,0,7,0,8,2535.0,104122.7500000001,101587.7500000001,4007.4063116370844
6.0,Trader_9,2020-01-10,8,7,1,1,0,0,7,6,1,5,1,6,2386.0,128418.25000000001,126032.25000000001,5282.156328583404
6.0,Trader_10,2020-01-11,9,7,2,1,0,1,7,7,1,6,0,8,2535.0,145112.74999999994,142577.74999999994,5624.368836291911
